ID,Language_ID,Name,Description,Segments,Morpheme_ID,Parameter_ID,Comment,Source,Part_Of_Speech
make-mom,yab,makë,,m a k ə,make-mom,mom,,,
mapara-chicken,yab,mapara,,m a p a r a,mapara-chicken,chicken,,,
mare-rel-inan,yab,marë,,m a r ə,mare-rel-inan,REL.INAN,,,
mare-rel-inan-1,yab,mare,,m a r e,mare-rel-inan,REL.INAN,,,
mare-still,yab,marë,,m a r ə,mare-still,still,,,
mare-still-1,yab,mare,,m a r e,mare-still,still,,,
mati-breast,yab,mati,,m a t i,mati-breast,breast,,,
mayawaka-m,yab,mayawaka,,m a j a w a k a,mayawaka-m,M.,,,
mayi-lets-go,yab,mayi,,m a j i,mayi-lets-go,let’s go,,,
mai-lets-go,yab,mai,,m a i,mayi-lets-go,let’s go,,,
mejya-cover,yab,mejya,,m e h j a,mejya-cover,cover,,,
michi-med-anim,yab,michi,,m i t͡ʃ i,michi-med-anim,MED.ANIM,,,
michisantomo-med-inan-pl,yab,michisantomo,,m i t͡ʃ i s a n t o m o,michisantomo-med-inan-pl,MED.INAN.PL,,,
michitomo-med-inan-pl,yab,michitomo,,m i t͡ʃ i t o m o,michitomo-med-inan-pl,MED.INAN.PL,,,
misi-med-inan,yab,misi,,m i s i,misi-med-inan,MED.INAN,,,
miti-root,yab,miti,,m i t i,miti-root,root; vein,,,
mone-vagina,yab,mone,,m o n e,mone-vagina,vagina,,,
moneka-girl-voc,yab,moneka,,m o n e k a,moneka-girl-voc,girl.VOC,,,
monkontomo-2pl-pro,yab,monkontomo,,m o n k o n t o m o,monkontomo-2pl-pro,2PL.PRO,,,
mokontomo-2pl-pro,yab,mokontomo,,m o k o n t o m o,monkontomo-2pl-pro,2PL.PRO,,,
mekontomo-2pl-pro,yab,mëkontomo,,m ə k o n t o m o,monkontomo-2pl-pro,2PL.PRO,,,
montomo-2pl-pro,yab,montomo,,m o n t o m o,monkontomo-2pl-pro,2PL.PRO,,,
mokontom-2pl-pro,yab,mokontom,,m o k o n t o m,monkontomo-2pl-pro,2PL.PRO,,,
mokonton-2pl-pro,yab,mokonton,,m o k o n t o n,monkontomo-2pl-pro,2PL.PRO,,,
moroko-fish,yab,moroko,,m o r o k o,moroko-fish,fish,,,
morone-hurting,yab,morone,,m o r o n e,morone-hurting,hurting,,,
moroni-pain,yab,moroni,,m o r o n i,moroni-pain,pain,,,
moron-pain,yab,moron,,m o r o n,moroni-pain,pain,,,
morono-poison,yab,morono,,m o r o n o,morono-poison,poison,,,
moto-worm,yab,moto,,m o t o,moto-worm,worm,,,
moyochi-spider-sp,yab,moyochi,,m o j o t͡ʃ i,moyochi-spider-sp,spider (sp.),,,
mujna-grave,yab,mujna,,m u h n a,mujna-grave,grave,,,
mujyane-pregnancy,yab,mujyanë,,m u h j a n ə,mujyane-pregnancy,pregnancy,,,
mujyam-pregnancy,yab,mujyam,,m u h j a m,mujyane-pregnancy,pregnancy,,,
muku-child,yab,muku,,m u k u,muku-child,child,,,
mune-bulbous,yab,mune,,m u n e,mune-bulbous,bulbous,,,
munta-budding,yab,munta,,m u n t a,munta-budding,budding,,,
mejki-dist-anim,yab,mëjkï,,m ə h k ɨ,mejki-dist-anim,DIST.ANIM,,,
mejnijne-dist-inan-pl,yab,mëjnijne,,m ə h n i h n e,mejnijne-dist-inan-pl,DIST.INAN.PL,,,
mejni-dist-inan,yab,mëjnï,,m ə h n ɨ,mejni-dist-inan,DIST.INAN,,,
meni-dist-inan,yab,mënï,,m ə n ɨ,mejni-dist-inan,DIST.INAN,,,
mekisantomo-dist-anim-pl,yab,mëkïsantomo,,m ə k ɨ s a n t o m o,mekisantomo-dist-anim-pl,DIST.ANIM.PL,,,
mere-2pro,yab,mërë,,m ə r ə,mere-2pro,2PRO,,,
mere-med-inan,yab,mërë,,m ə r ə,mere-med-inan,MED.INAN,,,
