ID,Wordform_ID,Morph_ID,Index,Gloss_ID
meyenetojpano-2-eat-meat-fut-concl-0,meyenetojpano-2-eat-meat-fut-concl,me2,0,2
meyenetojpano-2-eat-meat-fut-concl-1,meyenetojpano-2-eat-meat-fut-concl,yene-eat-meat,1,eat-meat
meyenetojpano-2-eat-meat-fut-concl-2,meyenetojpano-2-eat-meat-fut-concl,tojpanofut,2,"fut,concl"
uyakere-1-lk-with-0,uyakere-1-lk-with,u1,0,1
uyakere-1-lk-with-1,uyakere-1-lk-with,ylk,1,lk
uyakere-1-lk-with-2,uyakere-1-lk-with,akere-with,2,with
wepiri-come-ipfv-0,wepiri-come-ipfv,wepi-come,0,come
wepiri-come-ipfv-1,wepiri-come-ipfv,ri-ri,1,ipfv
e-e-yes-0,e-e-yes,e-e-yes,0,yes
tawara-too-0,tawara-too,tawara-too,0,too
taki-cnfrm-0,taki-cnfrm,taki-cnfrm,0,cnfrm
winikiri-sleep-ipfv-0,winikiri-sleep-ipfv,winiki-sleep,0,sleep
winikiri-sleep-ipfv-1,winikiri-sleep-ipfv,ri-ri,1,ipfv
iyawe-3-loc-0,iyawe-3-loc,i31,0,3
iyawe-3-loc-1,iyawe-3-loc,yawe-loc,1,loc
chipeke-because-0,chipeke-because,chipeke-because,0,because
tayawankase-3p-kill-pst-0,tayawankase-3p-kill-pst,ta-3,0,3p
tayawankase-3p-kill-pst-1,tayawankase-3p-kill-pst,yawanka-kill,1,kill
tayawankase-3p-kill-pst-2,tayawankase-3p-kill-pst,sepst,2,pst
meinpo-2-see-des-ipfv-0,meinpo-2-see-des-ipfv,me2,0,2
meinpo-2-see-des-ipfv-1,meinpo-2-see-des-ipfv,in-see,1,see
meinpo-2-see-des-ipfv-2,meinpo-2-see-des-ipfv,podes,2,des
meinpo-2-see-des-ipfv-3,meinpo-2-see-des-ipfv,ri-zero,3,ipfv
meini-2-see-ipfv-0,meini-2-see-ipfv,me2,0,2
meini-2-see-ipfv-1,meini-2-see-ipfv,ini-see,1,see
meini-2-see-ipfv-2,meini-2-see-ipfv,ri-zero,2,ipfv
keyaja-think-neg-0,keyaja-think-neg,keya-think,0,think
keyaja-think-neg-1,keyaja-think-neg,janeg,1,neg
make-mom-0,make-mom,make-mom,0,mom
meyakarama-2-tell-ipfv-0,meyakarama-2-tell-ipfv,me2,0,2
meyakarama-2-tell-ipfv-2,meyakarama-2-tell-ipfv,ri-zero,2,ipfv
mare-rel-inan-0,mare-rel-inan,mare-rel-inan-1,0,"rel,inan"
moyochi-spider-sp-0,moyochi-spider-sp,moyochi-spider-sp,0,spider-sp
tasare-say-imn-0,tasare-say-imn,ta-say,0,say
tasare-say-imn-1,tasare-say-imn,sareimn,1,imn
chipokono-because-0,chipokono-because,chipokono-because,0,because
pinika-prob-0,pinika-prob,pinika-prob,0,prob
warotari-work-ipfv-0,warotari-work-ipfv,warota-work,0,work
warotari-work-ipfv-1,warotari-work-ipfv,ri,1,ipfv
ire-3ana-inan-0,ire-3ana-inan,ire-3ana-inan,0,"3ana,inan"
mujyam-pregnancy-0,mujyam-pregnancy,mujyam-pregnancy,0,pregnancy
patakaja-take-out-neg-1,patakaja-take-out-neg,janeg,1,neg
apatakaja-come-out-neg-1,apatakaja-come-out-neg,janeg,1,neg
nwajtenepeke-dance-prog-intr-0,nwajtenepeke-dance-prog-intr,nwajte-dance,0,dance
nwajtenepeke-dance-prog-intr-1,nwajtenepeke-dance-prog-intr,nepeke,1,"prog,intr"
wejkaja-fall-neg-0,wejkaja-fall-neg,wejka-fall,0,fall
wejkaja-fall-neg-1,wejkaja-fall-neg,janeg,1,neg
ana-1-3pro-0,ana-1-3pro,ana-1-3pro,0,1-3pro
