ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
mijna-there-all,yab,mïjna,,there.ALL,,,,
minte-there-loc,yab,mïntë,,there.LOC,,,,
mira-priodontes-maximus,yab,mïra,,priodontes maximus,,,,
nai-do,yab,nai,,do,,,,
najmo-grandmother,yab,najmo,,grandmother,,,,
najpi-grandfather,yab,najpï,,grandfather,,,,
najwata-harbor,yab,najwata,,harbor,,,,
naki-thirst,yab,naki,,thirst,,,,
nata-door,yab,nata,,door,,,,
nepi-bring,yab,nepï,,bring,,,,
nono-earth,yab,nono,,earth,,,,
nope-good,yab,nope,,good,,,,
noro-parrot-sp,yab,noro,,parrot.sp,,,,
noti-potential-partner,yab,noti,,potential partner; cross cousin,,,,
nta-mouth,yab,nta,,mouth,,,,
nune-moon,yab,nunë,,moon,,,,
nu-tongue,yab,nu,,tongue,,,,
nwajte-dance,yab,nwajtë,,dance,,,,
neme-leave,yab,nëmë,,leave,,,,
ochi-o,yab,ochi,,O.,,,,
ojpa-give-drink,yab,ojpa,,give drink,,,,
onono-another,yab,onono,,another,,,,
orojyamo-evil-being,yab,orojyamo,,evil being,,,,
pachi-older-sister-of-woman,yab,pachi,,older sister of woman,,,,
paijku-p,yab,paijku,,P.,,,,
paka-cow,yab,paka,,cow,,,,
pakara-basket,yab,pakara,,basket,,,,
pakura-coix-lacryma-jobi,yab,pakura,,Coix lacryma-jobi,,,,
paku-arrow-tip,yab,paku,,arrow tip,,,,
pana-ear,yab,pana,,ear,,,,
pana-dat,yab,pana,,DAT,,,,
pano-fmr,yab,pano,,FMR,,,,
papa-father,yab,papa,,father,,,,
parujpe-broth,yab,parujpë,,broth,,,,
pata-village,yab,pata,,village,,,,
pata-axe,yab,pata,,axe,,,,
pate-cross,yab,patë,,cross,,,,
penare-before,yab,penarë,,before,,,,
pene-piranha,yab,pene,,piranha,,,,
pepoye-above-perl,yab,pepoye,,above.PERL,,,,
pe-palm-sp,yab,pe,,palm.sp,,,,
peti-leg,yab,peti,,leg,,,,
peye-turtle-sp,yab,peye,,turtle.sp,,,,
picha-capuchin-monkey,yab,picha,,capuchin monkey,,,,
pichipichi-whitebait,yab,pichipichi,,whitebait,,,,
pijpe-skin,yab,pijpë,,skin,,,,
pika-peel,yab,pika,,peel,,,,
pike-fart,yab,pikë,,fart,,,,
pinchi-hes,yab,pinchi,,HES,,,,
pipi-younger-brother-of-woman,yab,pipi,,younger brother of woman,,,,
pirini-walk,yab,pirini,,walk,,,,
pojte-want,yab,pojtë,,want,,,,
poroko-basket-sp,yab,poroko,,basket.sp,,,,
poseti-belly,yab,poseti,,belly,,,,
pota-mouth,yab,pota,,mouth; shore,,,,
poye-above,yab,poye,,above,,,,
punu-flesh,yab,punu,,flesh,,,,
putu-feel,yab,putu,,feel,,,,
peke-about,yab,pëkë,,about,,,,
penaka-return,yab,pënaka,,return,Maybe derived with [mp](kavbz).,,,
pimi-neck,yab,pïmï,,neck,,,,
pirika-endure,yab,pïrïka,,endure,,,,
roka-wash,yab,roka,,wash,,,,
roko-crazy,yab,roko,,crazy,,,,
romoye-downriver,yab,romoye,,downriver,,,,
rotoro-doctor,yab,rotoro,,doctor,,,,
rui-older-brother,yab,rui,,older brother,,,,
sai-penis,yab,sai,,penis,,,,
sakara-hoplias-malabaricus,yab,sakara,,hoplias malabaricus,,,,
sakau-sand,yab,sakau,,sand,,,,
saku-sweet-potato,yab,saku,,sweet potato,,,,
samo-cry,yab,samo,,cry,,,,
sampu-black-piranha,yab,sampu,,black piranha,,,,
sapara-heavy-pot,yab,sapara,,heavy pot,,,,
sare-here-all,yab,sarë,,here.ALL,,,,
sawo-rapids,yab,sawo,,rapids,,,,
sepami-get-married,yab,sepamï,,get married,,,,
sere-bitter-manioc,yab,sere,,bitter manioc,,,,
sojpa-take-out,yab,sojpa,,take out,,,,
sopika-skin,yab,sopika,,skin,,,,
sukase-all,yab,sukase,,all,,,,
sukutaka-yucuta,yab,sukutaka,,yucuta,,,,
surukupi-fish-sp,yab,surukupi,,fish.sp,,,,
sema-die,yab,sëma,,die,Looks like a DETRZ?,,,
tajme-ugly,yab,tajme,,ugly,,,,
tajnomo-piaroa,yab,tajnomo,,Piaroa,,,,
tajromini-bad-omen,yab,tajromini,,bad omen,,,,
tajropo-have-fever,yab,tajropo,,have fever,,,,
takono-other,yab,takono,,other,,,,
takunu-laziness,yab,takunu,,laziness,,,,
tapa-beat,yab,tapa,,beat,,,,
tarine-fast,yab,tarine,,fast,Derived with _-ne_?,,,
taro-say,yab,taro,,say,,,,
tawani-darkness,yab,tawani,,darkness,,,,
tawa-nyctidromus-albicollis,yab,tawa,,nyctidromus albicollis,,,,
tejwetunu-sick,yab,tejwetunu,,sick,,,,
temeki-defend,yab,temekï,,defend,,,,
ti-hsy,yab,ti,,HSY,,,,
tojpa-hit,yab,tojpa,,hit,,,,
tonko-play,yab,tonko,,play,,,,
torono-bird,yab,torono,,bird,,,,
torote-cemetery,yab,torotë,,cemetery,,,,
toto-non-indian,yab,toto,,non-Indian,,,,
tuj-fall,yab,tuj,,fall,,,,
tujnaka-iller,yab,tujnaka,,iller,,,,
tuna-water,yab,tuna,,water,,,,
