ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
tonko-play,yab,tonko,tonko-play,play,tonko,t o n k o,,,vi
torono-bird,yab,torono,torono-bird,bird,torono,t o r o n o,,,n
torote-cemetery,yab,torotë,torote-cemetery,cemetery,torotë,t o r o t ə,,,n
toto-non-indian,yab,toto,toto-non-indian,non-Indian,toto,t o t o,,,n
tujnaka-iller,yab,tujnaka,tujnaka-iller,iller,tujnaka,t u h n a k a,,,adv
tuna-water,yab,tuna,tuna-water,water,tuna,t u n a,,,n
tunami-hide,yab,tunamï,tunami-hide,hide,tunamï,t u n a m ɨ,,,vt
tunam-hide,yab,tunam,tunami-hide,hide,tunam,t u n a m,,,vt
tu-give,yab,tu,tu-give,give,tu,t u,,,vt
te-loc,yab,të,te-loc,LOC,të,t ə,,,postp
teijpo-far,yab,tëijpo,teijpo-far,far; long,tëijpo,t ə i h p o,,,adv
teijpe-far,yab,tëijpë,teijpo-far,far; long,tëijpë,t ə i h p ə,,,adv
teijpo-far-1,yab,teijpo,teijpo-far,far; long,teijpo,t e i h p o,,,adv
tejta-hollow,yab,tëjta,tejta-hollow,hollow,tëjta,t ə h t a,,,n
tenesemi-fish,yab,tënësemï,tenesemi-fish,fish,tënësemï,t ə n ə s e m ɨ,Etymologically morphologically complex.,,n
tenesem-fish,yab,tënësem,tenesemi-fish,fish,tënësem,t ə n ə s e m,Etymologically morphologically complex.,,n
tewi-3pro,yab,tëwï,tewi-3pro,3PRO,tëwï,t ə w ɨ,,,pn
ta-3pro,yab,ta,tewi-3pro,3PRO,ta,t a,,,pn
waijta-mouse,yab,waijta,waijta-mouse,mouse,waijta,w a i h t a,,,n
waijte-head,yab,waijtë,waijte-head,head,waijtë,w a i h t ə,,,n
waimu-language,yab,waimu,waimu-language,language,waimu,w a i m u,,,n
waimu-speak,yab,waimu,waimu-speak,speak,waimu,w a i m u,,,vi
waimurun-speak,yab,waimurun,waimu-speak,speak,waimurun,w a i m u r u n,,,vi
wajto-fire,yab,wajto,wajto-fire,fire,wajto,w a h t o,,,n
wajyaki-happy,yab,wajyakï,wajyaki-happy,happy,wajyakï,w a h j a k ɨ,,,n
wajyaki-be-happy,yab,wajyakï,wajyaki-be-happy,be happy,wajyakï,w a h j a k ɨ,,,vi
wajyakiti-be-happy,yab,wajyakïtï,wajyaki-be-happy,be happy,wajyakïtï,w a h j a k ɨ t ɨ,,,vi
wajyama-kiss,yab,wajyama,wajyama-kiss,kiss,wajyama,w a h j a m a,,,vt
wanapu-savannah,yab,wanapu,wanapu-savannah,savannah,wanapu,w a n a p u,,,n
wanene-aunt,yab,wanene,wanene-aunt,aunt,wanene,w a n e n e,,,n
waraijtokomo-man,yab,waraijtokomo,waraijtokomo-man,man,waraijtokomo,w a r a i h t o k o m o,,,n
waraijtokom-man,yab,waraijtokom,waraijtokomo-man,man,waraijtokom,w a r a i h t o k o m,,,n
waraijtokon-man,yab,waraijtokon,waraijtokomo-man,man,waraijtokon,w a r a i h t o k o n,,,n
waraijto-husband,yab,waraijto,waraijto-husband,husband,waraijto,w a r a i h t o,,,n
warota-work,yab,warota,warota-work,work,warota,w a r o t a,,,vi
waruwa-hoti,yab,waruwa,waruwa-hoti,hoti,waruwa,w a r u w a,,,n
waruwaru-hoti,yab,waruwaru,waruwa-hoti,hoti,waruwaru,w a r u w a r u,,,n
